target,model,chain,res,patch_qs,patch_dockq,lddt,cad,global_qs_best,global_tm_score,chain_number,X999,X365,X494,X426,X041,X121,X101,X248,X158,X083,X266,X248_2,X468,X168,X245,X089,n_trg_chains
H1106.pdb,H1106TS367_3,A,44,,,,,0.895,0.45899,2,0.51,,0.18,0.397,0.8843,0.18,,,0.360000342130661,0.7632,0.6971,0,0.074,0.502,0.38,,2
H1106.pdb,H1106TS367_3,A,47,,,,,0.895,0.45899,2,0.43,,0.68,0.398,0.8883,0.68,,0,0.330288916826248,0.7799,0.7192,0,0.073,0.502,0.35,,2
H1106.pdb,H1106TS367_3,A,48,,,,,0.895,0.45899,2,0.29,,0.77,0.397,0.9071,0.77,,,0.249873831868172,0.7154,0.6986,0,0.079,0.502,0.37,,2
H1106.pdb,H1106TS367_3,A,53,,,0.815,0.656,0.895,0.45899,2,0.57,,0.99,0.398,0.9491,0.99,,,0.283039182424545,0.7723,0.7645,0,0.139,0.502,0.53,,2
H1106.pdb,H1106TS367_3,A,56,0.957493637019042,0.929,0.825,0.829,0.895,0.45899,2,0.7,,0.98,0.397,0.9619,0.98,,1,0.239500671625137,0.8619,0.7959,1,0.146,0.502,0.52,,2
H1106.pdb,H1106TS367_3,A,57,0.975453925243248,0.893,0.847,0.872,0.895,0.45899,2,0.61,,1,0.398,0.9719,1,,1,0.334678113460541,0.8383,0.7759,1,0.143,0.498,0.55,,2
H1106.pdb,H1106TS367_3,A,58,0.976210403267018,0.895,0.813,0.577,0.895,0.45899,2,0.36,,0.99,0.397,0.9751,0.99,,,0.303976446390152,0.8245,0.7475,1,0.12,0.502,0.57,,2
H1106.pdb,H1106TS367_3,A,60,0.967732569726389,0.929,0.806,0.875,0.895,0.45899,2,0.72,,1,0.398,0.9703,1,,1,0.34699559211731,0.8078,0.7602,1,0.154,0.505,0.5,,2
H1106.pdb,H1106TS367_3,A,61,0.977425676019698,0.897,0.886,0.795,0.895,0.45899,2,1,,1,0.397,0.9759,1,,1,0.270798057317734,0.832,0.8079,1,0.184,0.498,0.63,,2
H1106.pdb,H1106TS367_3,A,62,0.968219433006574,0.879,0.887,0.737,0.895,0.45899,2,0.41,,0.99,0.397,0.9795,0.99,,1,0.316712975502014,0.8483,0.7997,1,0.197,0.505,0.5,,2
H1106.pdb,H1106TS367_3,A,63,0.954666445635062,0.786,0.857,0.7,0.895,0.45899,2,0.75,,1,0.396,0.9799,1,,1,0.282595723867416,0.8247,0.7949,1,0.341,0.495,0.4,,2
