Group,Gname,ROC_AUC_lddt,ROC_AUC_cad,ROC_AUC_patch_qs,ROC_AUC_patch_dockq,pearson_lddt,pearson_cad,pearson_patch_qs,pearson_patch_dockq,spearman_lddt,spearman_cad,spearman_patch_qs,spearman_patch_dockq
X999,Bond_Ln,0.519,0.528,0.559,0.581,-0.03,0.001,0.05,0.06,0.002,0.022,0.11,0.118
X266,MFDR,0.723,0.676,0.699,0.695,0.34,0.32,0.41,0.44,0.39,0.35,0.43,0.43
X089,RocketX,0.802,0.734,0.75,0.728,0.66,0.59,0.39,0.46,0.63,0.52,0.53,0.5
X121,VoroIF,0.689,0.636,0.756,0.752,0.27,0.22,0.23,0.28,0.32,0.27,0.45,0.4
X083,MFDS,0.764,0.706,0.703,0.675,0.36,0.35,0.08,0.17,0.41,0.37,0.32,0.29
X041,MFD,0.631,0.607,0.643,0.647,0.15,0.15,0.38,0.36,0.17,0.17,0.3,0.3
X365,Alchemy,0.661,0.613,0.589,0.589,0.34,0.25,0.01,0.1,0.33,0.23,0.16,0.16
X494,Venclovas,0.689,0.636,0.756,0.752,0.27,0.29,0.23,0.28,0.32,0.27,0.45,0.4
X426,LAW,0.5,0.539,0.5,0.5,-0.03,-0.05,0.07,0.03,-0.04,-0.05,-0.01,-0.002
X101,DLA_Rank,0.5,0.5,0.507,0.501,6.00E-05,-0.009,0.07,0.04,0.008,-0.002,0.04,0.02
X248,Manifold,0.588,0.536,0.61,0.604,-0.01,0.01,0.04,0.07,0.03,0.04,0.11,0.16
X158,MULTICOM,0.51,0.502,0.5,0.524,-0.01,3.00E-05,0.001,0.007,-0.01,-0.002,0.01,0.02
X248_2,Manifold2,0.591,0.545,0.63,0.615,0.01,0.03,0.07,0.11,0.07,0.06,0.15,0.2
X468,MASS,0.507,0.502,0.5,0.515,-0.0006,-0.03,-0.03,0.04,0.012,4.00E-05,0.007,-0.02
X168,APOLLO,0.559,0.567,0.613,0.643,0.22,0.19,0.36,0.36,0.2,0.18,0.31,0.31
X245,FoldEver,0.594,0.591,0.644,0.662,0.26,0.27,0.24,0.29,0.26,0.25,0.33,0.32
